*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Jul 24 17:14:08 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -2.521092855899356E+07,  1.449279195838006E+08, -6.164165719002485E+02, -2.983983333677879E+01, -5.207633902410673E+00,  6.168441184239981E-05,  4.906873281460496E+02,  1.471043602143568E+08, -1.659801925047386E-02,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000, -2.778511779921547E+07,  1.444553772423031E+08, -6.007514169216156E+02, -2.974626809835767E+01, -5.730626715019995E+00,  2.990406142115987E-04,  4.906836546326621E+02,  1.471032589227489E+08, -8.948006607119819E-03,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000, -3.035080472369544E+07,  1.439377088861630E+08, -5.651932490244508E+02, -2.964301718431764E+01, -6.252175030903299E+00,  5.207661348172188E-04,  4.906821421898969E+02,  1.471028055038147E+08, -1.592925537036056E-03,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000, -3.290715186302563E+07,  1.433750503928736E+08, -5.114461067616940E+02, -2.953006867394194E+01, -6.772021974680058E+00,  7.187967955428753E-04,  4.906827128438513E+02,  1.471029765815663E+08,  5.516286269754899E-03,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000, -3.545332139161420E+07,  1.427675599888751E+08, -4.418800946474075E+02, -2.940742630867741E+01, -7.289906979038762E+00,  8.857789395237958E-04,  4.906853031094902E+02,  1.471037531236691E+08,  1.243138837912583E-02,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000, -3.798847651642802E+07,  1.421154185857780E+08, -3.594679680541158E+02, -2.927511050584935E+01, -7.805565521314216E+00,  1.015137860480575E-03,  4.906898649870897E+02,  1.471051207401677E+08,  1.920827927593638E-02,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000, -4.051178299274084E+07,  1.414188300984941E+08, -2.677107047885656E+02, -2.913316016662188E+01, -8.318729857841973E+00,  1.101257982871751E-03,  4.906963672874405E+02,  1.471070700807726E+08,  2.590778175795624E-02,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000, -4.302241080527025E+07,  1.406780216512884E+08, -1.705443150028586E+02, -2.898163458909598E+01, -8.829130871806500E+00,  1.139728137267593E-03,  4.907047970641077E+02,  1.471095972642400E+08,  3.259559572633810E-02,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000, -4.551953599893294E+07,  1.398932435832056E+08, -7.222456251084805E+01, -2.882061495090507E+01, -9.336500810344962E+00,  1.127599348562658E-03,  4.907151609215838E+02,  1.471127042705472E+08,  3.934152145446339E-02,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000, -4.800234260935578E+07,  1.390647691932754E+08,  2.280962074548006E+01, -2.865020512649306E+01, -9.840576497871824E+00,  1.063615755876324E-03,  4.907274860291322E+02,  1.471163992448342E+08,  4.621825278547422E-02,
